ID,Language_ID,Headword,Part_Of_Speech,Segments,Sound_Classes,Character,Middle Chinese,Old_Chinese,Middle_Chinese_Readings,Old_Chinese_Readings,Glosses,Example_IDS
word-1,OldChinese,魯,,,,魯,,! *r.ŋˤaʔ // *[r]ˤaʔ,! *r.ŋˤaʔ / *[r]ˤaʔ,luX,Lu (place name),ad-1-1
word-2,OldChinese,莊公,,,,莊公,,*[ts]raŋ // *C.qˤoŋ,*C.qˤoŋ / *[ts]raŋ,kuwng / tsrjang,duke Zhuang (personal name),ad-1-1
word-3,OldChinese,將,,,,將,,*[ts]aŋ,*[ts]aŋ,tsjang,aspect marker,ad-1-1
word-4,OldChinese,為,,,,為,,! *ɢʷ(r)aj // *ɢʷ(r)aj-s,*ɢʷ(r)aj-s / ! *ɢʷ(r)aj,hjwe / // / hjweH,do,ad-1-1
word-5,OldChinese,大,,,,大,,*lˤa[t]-s,*lˤa[t]-s,dajH,big,ad-1-1
word-6,OldChinese,鍾,,,,鍾,,*toŋ,*toŋ,tsyowng,bell,ad-1-1
word-7,OldChinese,型,,,,型,,*gˤeŋ,*gˤeŋ,heng,shape,ad-1-2
word-8,OldChinese,既,,,,既,,*[k]ə[t]-s,*[k]ə[t]-s,kj+jH,aspect marker,ad-1-2
word-9,OldChinese,成,,,,成,,*m-[d]eŋ,*m-[d]eŋ,dzyeng,finish,ad-1-2
word-10,OldChinese,矣,,,,矣,,*qəʔ,*qəʔ,hiX,modal particle,ad-1-2
word-11,OldChinese,曹沫,,,,曹沫,,*N-tsˤu // *mˤat,*N-tsˤu / *mˤat,dzaw / mat,Cao Mo (personal name),ad-1-3
word-12,OldChinese,入,,,,入,,*n[u]p,*n[u]p,nyip,enter,ad-1-3
word-13,OldChinese,見,,,,見,,! *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s,*[k]ˤen-s / ! *N-[k]ˤen-s / *m-[k]ˤen-s,// / henH / kenH,see,ad-1-3
word-14,OldChinese,曰,,,,曰,,*[ɢ]ʷat,*[ɢ]ʷat,hjwot,say,ad-1-4
word-15,OldChinese,昔,,,,昔,,*[s]Ak,*[s]Ak,sjek,past,ad-1-5
word-16,OldChinese,周,,,,周,,*tiw,*tiw,tsyuw,Zhou (clan name),ad-1-5
word-17,OldChinese,室,,,,室,,*s.ti[t],*s.ti[t],syit,house,ad-1-5
word-18,OldChinese,之,,,,之,,*tə,*tə,tsyi,nominalization marker,ad-1-5
word-19,OldChinese,封,,,,封,,*p(r)oŋ,*p(r)oŋ,pjowng,enfeoff,ad-1-5
,OldChinese,,,,,,,,! *r.ŋˤaʔ / *[r]ˤaʔ,luX,Lu (place name),ad-1-5
word-20,OldChinese,也,,,,也,,*lAjʔ,*lAjʔ,(dzyoX) / yaeX,modal particle,ad-1-5
word-21,OldChinese,東,,,,東,,*tˤoŋ,*tˤoŋ,tuwng,east,ad-1-6
word-22,OldChinese,西,,,,西,,*s-nˤər,*s-nˤər,sej,west,ad-1-6
word-23,OldChinese,七,,,,七,,*[tsʰ]i[t],*[tsʰ]i[t],tshit,seven,ad-1-6
word-24,OldChinese,百,,,,百,,*pˤrak,*pˤrak,paek,hundred,ad-1-6
word-25,OldChinese,南,,,,南,,*nˤ[ə]m,*nˤ[ə]m,nom,south,ad-1-6
word-26,OldChinese,北,,,,北,,*pˤək,*pˤək,pok,north,ad-1-6
word-27,OldChinese,五,,,,五,,*C.ŋˤaʔ,*C.ŋˤaʔ,nguX,five,ad-1-6
,OldChinese,,,,,,,,*pˤrak,paek,thousand / hundred,ad-1-6 ad-21-187 ad-22-188
word-28,OldChinese,彼,,,,彼,,*pajʔ,*pajʔ,pjeX,that,ad-1-7
word-29,OldChinese,山,,,,山,,*s-ŋrar,*s-ŋrar,srean,mountain,ad-1-7
,OldChinese,,,,,,,,*pajʔ,pjeX,that,ad-1-7
word-30,OldChinese,澤,,,,澤,,*lˤrak,*lˤrak,draek,marsh,ad-1-7
word-31,OldChinese,無,,,,無,,*ma // *mo // *ma,*ma / *mo,mju / (mu),not have,ad-1-8
word-32,OldChinese,有,,,,有,,*[ɢ]ʷəʔ,*[ɢ]ʷəʔ,hjuwX,have,ad-1-8
word-33,OldChinese,不,,,,不,,*pə,*pə,(bijX) / pjuw,not ,ad-1-8
word-34,OldChinese,民,,,,民,,*mi[ŋ],*mi[ŋ],mjin,people,ad-1-8
word-35,OldChinese,今,,,,今,,*[k]r[ə]m,*[k]r[ə]m,kim,today,ad-2-9
,OldChinese,,,,,,,,*p(r)oŋ,pjowng,fief,ad-2-9
word-36,OldChinese,彌,,,,彌,,*m-nə[r],*m-nə[r],mjie,more,ad-2-9
word-37,OldChinese,小,,,,小,,*[s]ewʔ,*[s]ewʔ,sjewX,small,ad-2-9
word-38,OldChinese,而,,,,而,,*nə,*nə,nyi,conjunction,ad-2-9
,OldChinese,,,,,,,,*toŋ,tsyowng,bell,ad-2-9 ad-8-58
word-39,OldChinese,愈,,,,愈,,*loʔ,*loʔ,yuX,more,ad-2-9
,OldChinese,,,,,,,,*lˤa[t]-s,dajH,big / big  / great,ad-2-9 ad-10-78 ad-15-122 ad-15-128 ad-30-269 ad-42-370 ad-42-371 ad-45-397
word-40,OldChinese,君,,,,君,,*C.qur,*C.qur,kjun,her majesty,ad-2-10
word-41,OldChinese,其,,,,其,,*gə,*gə,gi,modal particle,ad-2-10
word-42,OldChinese,圖,,,,圖,,*[d]ˤa,*[d]ˤa,du,intend,ad-2-10
,OldChinese,,,,,,,,*tə,tsyi,conjunction / anaphoric subtitute of the object / anaphoric substitute of the object / cataphoric substitute of the object / this / nominalization marker,ad-2-10 ad-2-11 ad-4-24 ad-4-28 ad-4-29 ad-6-33 ad-6-36 ad-6-39 ad-6-39 ad-6-43 ad-6-45 ad-7-46 ad-9-71 ad-10-74 ad-10-77 ad-10-77 ad-11-91 ad-11-91 ad-12-99 ad-14-113 ad-14-116 ad-15-128 ad-16-134 ad-17-143 ad-20-171 ad-20-172 ad-20-172 ad-20-175 ad-21-182 ad-22-194 ad-22-195 ad-24-214 ad-25-216 ad-25-224 ad-26-230 ad-26-234 ad-26-236 ad-27-240 ad-27-244 ad-28-249 ad-28-250 ad-28-252 ad-29-264 ad-31-276 ad-31-277 ad-31-279 ad-31-281 ad-32-286 ad-32-286 ad-32-288 ad-33-293 ad-34-306 ad-35-317 ad-36-319 ad-36-323 ad-37-334 ad-38-335 ad-38-336 ad-38-337 ad-38-342 ad-38-342 ad-40-350 ad-41-362 ad-41-366 ad-41-367 ad-42-368 ad-42-371 ad-42-374 ad-43-379 ad-43-384 ad-44-389 ad-44-391 ad-44-392 ad-45-398 ad-45-399
,OldChinese,,,,,,,,*lAjʔ,(dzyoX) / yaeX,modal particle,ad-2-10 ad-2-11 ad-6-43 ad-8-65 ad-11-90 ad-19-164 ad-22-199 ad-23-200 ad-25-224 ad-26-235 ad-27-244
,OldChinese,,,,,,,,*[s]Ak,sjek,past,ad-2-11 ad-3-16 ad-6-38 ad-44-392
