"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0fe7697f-52aa-4a41-8726-c02515fefe3a","AD11:12.jpg","12r27","rect:x=528,y=1758,w=99,h=183","","","","","","","","","","","",""
"9f4a2cb2-45e7-4210-bbd0-b8f1eb3865d3","AD11:12.jpg","11r11","rect:x=1743,y=2341,w=102,h=120","","","","","","","","","","","",""
"6d3b9750-c4b3-49ed-b8c5-ccb75a3c1577","AD11:12.jpg","11r13","rect:x=1745,y=2634,w=97,h=194","","","","","","","","","","","",""
"02400dee-2c7f-456c-8d8e-7918e6e970a8","AD11:12.jpg","11r31","rect:x=1401,y=1167,w=100,h=158","","","","","","","","","","","",""
"61092ca5-0a50-45ed-97b0-f1ac452d65b8","AD11:12.jpg","11r34","rect:x=1395,y=1741,w=106,h=172","","","","","","","","","","","",""
"fffd02f8-c902-49a3-b745-cd380d5a0b2c","AD11:12.jpg","11r29","rect:x=1395,y=768,w=110,h=133","","","","","","","","","","","",""
"60475939-ac02-4537-b20f-a6b287a5b894","AD11:12.jpg","11r40","rect:x=1224,y=335,w=100,h=177","","","","","","","","","","","",""
"bfc35081-d11d-4496-9b85-2d54ecb91ae8","AD11:12.jpg","12r13","rect:x=704,y=1663,w=93,h=124","","","","","","","","","","","",""
"3f9443a0-7cec-40a8-a9b3-149060da569c","AD11:12.jpg","12r4","rect:x=878,y=2616,w=102,h=128","","","","","","","","","","","",""
"ecaa24a0-9310-43bc-abd3-e0da3d47f76f","AD11:12.jpg","12r8","rect:x=711,y=834,w=95,h=131","","","","","","","","","","","",""
"cad8405f-bf65-4f8f-869c-535b7837e105","AD11:12.jpg","12r5","rect:x=698,y=296,w=99,h=119","","","","","","","","","","","",""
"9f78b7fc-8cff-4807-afb6-d045f5dc1371","AD11:12.jpg","12r25","rect:x=523,y=1365,w=111,h=130","","","","","","","","","","","",""
"aae541b5-33ce-4997-bf79-1444f45d8dab","AD11:12.jpg","12r32","rect:x=521,y=2674,w=101,h=123","","","","","","","","","","","",""
"95ca439d-40e4-4ebe-8fb0-ec1bc4ccf9e0","AD11:12.jpg","12r31","rect:x=519,y=2504,w=104,h=148","","","","","","","","","","","",""
"c6ec9b05-75e6-4add-b522-a72fdda0bffb","AD11:12.jpg","12r33","rect:x=351,y=299,w=101,h=232","","","","","","","","","","","",""
"b7cc57b0-5fc1-4fa6-97b9-92d109d2e915","AD11:12.jpg","12r1","rect:x=874,y=2019,w=106,h=139","","","","","","","","","","","",""
"58ec727f-ad31-4a61-9c2d-579fd4995610","AD11:12.jpg","12r28","rect:x=530,y=1976,w=92,h=107","","","","","","","","","","","",""
"f9b3d400-4268-46d0-b99c-a0c6402f1bcd","AD11:12.jpg","12r29","rect:x=523,y=2133,w=106,h=194","","","","","","","","","","","",""
"91d70c79-61df-4aec-a6db-ce82ee166f1d","AD11:12.jpg","11r38","rect:x=1392,y=2357,w=104,h=146","","","","","","","","","","","",""
"998a3604-695e-44f7-936c-e75fd062741a","AD11:12.jpg","11r32","rect:x=1399,y=1392,w=106,h=133","","","","","","","","","","","",""
"91655f11-4d68-4db9-834c-64678b0db343","AD11:12.jpg","11r35","rect:x=1395,y=1965,w=108,h=136","","","","","","","","","","","",""
"7d2ddc6b-1c79-4e0e-ad3b-aecfeab73f3c","AD11:12.jpg","11r10","rect:x=1740,y=2191,w=105,h=114","","","","","","","","","","","",""
"f07bf6c4-c306-438b-86b9-225093dbec3c","AD11:12.jpg","11r9","rect:x=1745,y=2018,w=102,h=140","","","","","","","","","","","",""
"42ca6c36-98ca-4322-89ba-33cf36c6cadc","AD11:12.jpg","11r17","rect:x=1570,y=909,w=104,h=142","","","","","","","","","","","",""
"9416ad19-9a55-452c-8891-0c412880c748","AD11:12.jpg","11r7","rect:x=1743,y=1621,w=108,h=119","","","","","","","","","","","",""
"5ce63105-c481-4a4f-9faf-86839e10c02b","AD11:12.jpg","11r3","rect:x=1745,y=845,w=104,h=112","","","","","","","","","","","",""
"3a8b8d8c-1e7d-4926-8dc0-f9472ba9a8f5","AD11:12.jpg","12r24","rect:x=528,y=1182,w=105,h=146","","","","","","","","","","","",""
"5f1a6454-4b39-4d54-a53d-f60f043a62a4","AD11:12.jpg","12r14","rect:x=709,y=1831,w=92,h=130","","","","","","","","","","","",""
"8d299bf9-6156-491d-825a-79f63f0d1d48","AD11:12.jpg","12r20","rect:x=534,y=363,w=97,h=163","","","","","","","","","","","",""
"d608010f-c54e-4939-9293-c123922a6f8b","AD11:12.jpg","11r12","rect:x=1741,y=2505,w=106,h=102","","","","","","","","","","","",""
"7f43d17e-6dd8-4625-89e1-88bc29e4fdd3","AD11:12.jpg","11r8","rect:x=1749,y=1810,w=100,h=179","","","","","","","","","","","",""
"c7ecb527-9094-42eb-b5f0-0b91e45544eb","AD11:12.jpg","11r18","rect:x=1562,y=1109,w=104,h=114","","","","","","","","","","","",""
"c111782e-2499-4d7f-9791-83cc32187373","AD11:12.jpg","11r27","rect:x=1397,y=347,w=104,h=140","","","","","","","","","","","",""
"59059e0a-fbd9-4686-b066-c2922109d9b5","AD11:12.jpg","11r39","rect:x=1390,y=2551,w=104,h=127","","","","","","","","","","","",""
"fcea390a-9d84-4783-b7c4-99d15f2858f5","AD11:12.jpg","11r14","rect:x=1568,y=318,w=96,h=121","","","","","","","","","","","",""
"47584cd6-2343-4721-874f-15a5dd8a5d31","AD11:12.jpg","11r20","rect:x=1560,y=1450,w=106,h=133","","","","","","","","","","","",""
"cedeba08-9248-4a28-bd74-c80792d9055c","AD11:12.jpg","12r15","rect:x=708,y=2023,w=97,h=126","","","","","","","","","","","",""
"d79d7a80-6b04-44a2-8542-5b1618ad4539","AD11:12.jpg","12r17","rect:x=715,y=2356,w=97,h=137","","","","","","","","","","","",""
"15390631-f818-4f17-a86f-b397c7ca4b8e","AD11:12.jpg","12r16","rect:x=713,y=2200,w=92,h=121","","","","","","","","","","","",""
"b763bdae-c88f-4d44-9c7e-907909c2e3a9","AD11:12.jpg","12r30","rect:x=527,y=2360,w=95,h=122","","","","","","","","","","","",""
"d3157a3d-f27b-44f1-9658-fe4d8116caeb","AD11:12.jpg","12r21","rect:x=534,y=579,w=104,h=161","","","","","","","","","","","",""
"09ea659c-2ca8-4b9e-84ea-5bb7ce059e80","AD11:12.jpg","12r18","rect:x=709,y=2552,w=101,h=120","","","","","","","","","","","",""
"9b62600c-aca9-4fd6-8829-9e7b39f0408b","AD11:12.jpg","12r34","rect:x=349,y=573,w=97,h=189","","","","","","","","","","","",""
"af5cc3b8-f5e9-4fab-8f4a-2a67d38913fd","AD11:12.jpg","12r12","rect:x=697,y=1506,w=100,h=113","","","","","","","","","","","",""
"fd4e1aaa-011c-400e-a779-7a8f6e512c22","AD11:12.jpg","12r23","rect:x=530,y=994,w=101,h=141","","","","","","","","","","","",""
"8da59478-a219-4f16-ad15-0177f785d88c","AD11:12.jpg","11r2","rect:x=1745,y=655,w=110,h=134","","","","","","","","","","","",""
"fa22da18-e01e-408f-803e-d51e3d59a971","AD11:12.jpg","11r21","rect:x=1564,y=1606,w=100,h=133","","","","","","","","","","","",""
"0fbc8d3f-983d-4798-b7e5-1aa49272625d","AD11:12.jpg","11r6","rect:x=1753,y=1432,w=98,h=141","","","","","","","","","","","",""
"17dee1ea-871b-441d-8c83-aa29e6f18558","AD11:12.jpg","11r28","rect:x=1395,y=541,w=110,h=185","","","","","","","","","","","",""
"6f667b98-c461-4f5c-8877-de978a0c625c","AD11:12.jpg","11r33","rect:x=1397,y=1570,w=106,h=118","","","","","","","","","","","",""
"12f82529-3fb8-42af-bc8e-c598e2906e61","AD11:12.jpg","11r30","rect:x=1399,y=940,w=104,h=138","","","","","","","","","","","",""
"1bc061cc-9c1e-4256-8787-a6989d1dd0b7","AD11:12.jpg","11r23","rect:x=1564,y=2014,w=104,h=142","","","","","","","","","","","",""
"ec22d038-8e7c-430f-9829-7028f87ddf4e","AD11:12.jpg","11r37","rect:x=1391,y=2186,w=119,h=131","","","","","","","","","","","",""
"2d381dac-e882-49c8-a972-9fb1d299f8b8","AD11:12.jpg","11r4","rect:x=1747,y=1007,w=102,h=152","","","","","","","","","","","",""
"3cb72c50-7e40-4bec-a3dd-7ce0b6385e6d","AD11:12.jpg","12r3","rect:x=878,y=2434,w=97,h=122","","","","","","","","","","","",""
"65213156-c513-4eae-b9db-aa033fbdf736","AD11:12.jpg","12r11","rect:x=698,y=1296,w=99,h=145","","","","","","","","","","","",""
"37400319-d10e-458e-a42e-0a8623b2ad38","AD11:12.jpg","11r16","rect:x=1572,y=716,w=106,h=150","","","","","","","","","","","",""
"12207540-db06-4c5c-b779-b38654dca6b1","AD11:12.jpg","11r15","rect:x=1572,y=499,w=98,h=169","","","","","","","","","","","",""
"b7ba1b1f-7f8c-43a3-b34f-df9cb34186f1","AD11:12.jpg","11r42","rect:x=1224,y=735,w=98,h=129","","","","","","","","","","","",""
"a8e50700-32e0-4f50-aeea-abc8f63c35e9","AD11:12.jpg","11r1","rect:x=1747,y=456,w=112,h=158","","","","","","","","","","","",""
"a0a0ad20-a582-40fb-bab0-8aff74715710","AD11:12.jpg","11r5","rect:x=1743,y=1223,w=106,h=159","","","","","","","","","","","",""
"1709350b-6756-4070-87ec-a7b338bb39c2","AD11:12.jpg","11r19","rect:x=1566,y=1271,w=96,h=121","","","","","","","","","","","",""
"ab8604da-3d9f-4458-a723-d7547d717823","AD11:12.jpg","11r22","rect:x=1560,y=1781,w=106,h=167","","","","","","","","","","","",""
"a2f9b7c8-ab02-4a3b-9118-d4322409e970","AD11:12.jpg","11r24","rect:x=1572,y=2203,w=94,h=132","","","","","","","","","","","",""
"2550c152-4abc-4c30-9d85-248eeaa89508","AD11:12.jpg","11r36","rect:x=1399,y=2109,w=98,h=83","","","","","","","","","","","",""
"5040297c-75bd-490a-a583-bada774384b5","AD11:12.jpg","11r25","rect:x=1568,y=2382,w=102,h=208","","","","","","","","","","","",""
"8529a1c4-d0cf-42c4-8e83-a3099720b0b5","AD11:12.jpg","11r26","rect:x=1566,y=2638,w=104,h=161","","","","","","","","","","","",""
"fcd1e087-5ac3-4bd1-90af-154eacc92fd9","AD11:12.jpg","11r41","rect:x=1220,y=560,w=102,h=135","","","","","","","","","","","",""
"a8e9d114-3ee8-423d-8ffa-33338d18568f","AD11:12.jpg","12r9","rect:x=706,y=998,w=97,h=110","","","","","","","","","","","",""
