"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"47afa8c5-9eca-4476-9a3b-07d44b337f3e","SB10:11:12:13.jpg","10r5","rect:x=1665,y=990,w=70,h=94","","","","","","","","","","","",""
"2505b731-f390-4012-b24d-b232f82ddaf0","SB10:11:12:13.jpg","10r22","rect:x=1468,y=1248,w=71,h=94","","","","","","","","","","","",""
"ec9992be-38aa-42d0-a2d3-94b72005146a","SB10:11:12:13.jpg","10r19","rect:x=1471,y=800,w=73,h=85","","","","","","","","","","","",""
"304284f7-ae85-47c7-aa76-3b63900d79af","SB10:11:12:13.jpg","10r26","rect:x=1462,y=1847,w=73,h=75","","","","","","","","","","","",""
"6b61104b-028b-445e-8b5d-d078bc571360","SB10:11:12:13.jpg","11r12","rect:x=1147,y=2092,w=64,h=85","","","","","","","","","","","",""
"90820ba2-8c5a-4e83-ba51-3fcbd21cd26d","SB10:11:12:13.jpg","12r10","rect:x=838,y=1461,w=64,h=94","","","","","","","","","","","",""
"2800271f-67b8-4e98-8637-6310bf20c870","SB10:11:12:13.jpg","12r14","rect:x=834,y=2100,w=61,h=71","","","","","","","","","","","",""
"5268ab62-8d8b-44a5-a8bd-675be28002ac","SB10:11:12:13.jpg","13r5","rect:x=532,y=951,w=65,h=88","","","","","","","","","","","",""
"095d2d1f-f3eb-4498-9d19-c3456f303351","SB10:11:12:13.jpg","13r15","rect:x=512,y=2511,w=86,h=113","","","","","","","","","","","",""
"6a0e5788-4dc5-49ff-adcc-83a1f9294232","SB10:11:12:13.jpg","13r11","rect:x=527,y=1863,w=64,h=125","","","","","","","","","","","",""
"6a8ea81f-c808-4506-adad-9879ea4f8b01","SB10:11:12:13.jpg","13r16","rect:x=410,y=319,w=78,h=99","","","","","","","","","","","",""
"1c1e9e80-5a3a-4f1a-b502-196ec65cce4b","SB10:11:12:13.jpg","13r23","rect:x=408,y=1265,w=91,h=72","","","","","","","","","","","",""
"2cffedd0-22ec-4faa-bf1e-26c784e252e4","SB10:11:12:13.jpg","13r26","rect:x=407,y=1656,w=74,h=83","","","","","","","","","","","",""
"0575b91d-3f87-45e4-8897-904ca98da8c3","SB10:11:12:13.jpg","12r1","rect:x=843,y=293,w=79,h=79","","","","","","","","","","","",""
"68235141-67ca-4d63-9fca-929045a14bc4","SB10:11:12:13.jpg","13r18","rect:x=412,y=610,w=76,h=110","","","","","","","","","","","",""
"7d16d581-c773-4cdf-970e-192b3aeca272","SB10:11:12:13.jpg","10r27","rect:x=1463,y=1970,w=68,h=80","","","","","","","","","","","",""
"1f566daf-44b0-4043-b055-ab9f92daf862","SB10:11:12:13.jpg","11r6","rect:x=1153,y=1205,w=63,h=94","","","","","","","","","","","",""
"bc9ba891-bdf7-4a33-a0cf-f1aa5f19126c","SB10:11:12:13.jpg","12r2","rect:x=844,y=426,w=69,h=96","","","","","","","","","","","",""
"d9555f5c-569e-49e4-ac9f-540095086968","SB10:11:12:13.jpg","13r7","rect:x=531,y=1247,w=64,h=71","","","","","","","","","","","",""
"5a6c79df-f7c4-489f-baeb-9064701ec608","SB10:11:12:13.jpg","13r2","rect:x=534,y=551,w=69,h=61","","","","","","","","","","","",""
"2f18cb72-5d86-41bc-b2b7-579e65ffa5ba","SB10:11:12:13.jpg","13r10","rect:x=527,y=1691,w=69,h=116","","","","","","","","","","","",""
"c1831335-85d8-4976-90ec-7abf0a1bae2b","SB10:11:12:13.jpg","13r14","rect:x=518,y=2339,w=74,h=72","","","","","","","","","","","",""
"55fee3fc-cf43-4fbd-aee5-7c7338df0b76","SB10:11:12:13.jpg","12r15","rect:x=831,y=2206,w=65,h=75","","","","","","","","","","","",""
"f86821e9-67aa-499f-a5dc-76b14e2ee124","SB10:11:12:13.jpg","10r7","rect:x=1665,y=1295,w=70,h=73","","","","","","","","","","","",""
"4ff8472d-3ae9-45ff-930c-916cc40a8156","SB10:11:12:13.jpg","10r1","rect:x=1668,y=430,w=74,h=89","","","","","","","","","","","",""
"5ff77a78-a7da-4d98-a295-b9ca98f2cf67","SB10:11:12:13.jpg","10r16","rect:x=1477,y=369,w=66,h=75","","","","","","","","","","","",""
"5e741263-2112-40fa-9b2b-f713b9a95fd9","SB10:11:12:13.jpg","10r17","rect:x=1474,y=496,w=66,h=70","","","","","","","","","","","",""
"40022cb4-03e4-430f-b62e-cf9ca06da245","SB10:11:12:13.jpg","10r18","rect:x=1474,y=621,w=74,h=128","","","","","","","","","","","",""
"a018d76e-c770-4129-9f31-e639a04dda38","SB10:11:12:13.jpg","10r23","rect:x=1465,y=1397,w=69,h=75","","","","","","","","","","","",""
"3b9335fd-0459-4141-98c6-9337d3732463","SB10:11:12:13.jpg","10r28","rect:x=1456,y=2122,w=72,h=90","","","","","","","","","","","",""
"d7603c81-e75f-49d2-938e-c5d0f42c79a8","SB10:11:12:13.jpg","11r11","rect:x=1147,y=1972,w=67,h=99","","","","","","","","","","","",""
"192fad4c-317b-46ee-9e1e-81c8b799fd46","SB10:11:12:13.jpg","10r24","rect:x=1464,y=1526,w=69,h=81","","","","","","","","","","","",""
"411fa7bd-bcd5-4a2c-94c3-befc80a81c4a","SB10:11:12:13.jpg","10r3","rect:x=1665,y=703,w=71,h=65","","","","","","","","","","","",""
"cf12a0dd-5aba-46ad-b72a-e1896045abff","SB10:11:12:13.jpg","10r6","rect:x=1664,y=1148,w=74,h=84","","","","","","","","","","","",""
"37141d54-b364-4034-8b4e-aae9091630ee","SB10:11:12:13.jpg","10r13","rect:x=1663,y=2100,w=69,h=93","","","","","","","","","","","",""
"ec1a5fd6-a07a-4359-9bcc-00406954be71","SB10:11:12:13.jpg","10r10","rect:x=1666,y=1743,w=65,h=79","","","","","","","","","","","",""
"b0d28188-2b2d-48aa-9989-27e069dcb198","SB10:11:12:13.jpg","10r15","rect:x=1661,y=2490,w=67,h=80","","","","","","","","","","","",""
"cbce1e3c-c766-4667-bb21-c903b0c6c1af","SB10:11:12:13.jpg","13r9","rect:x=532,y=1528,w=61,h=103","","","","","","","","","","","",""
"6608101c-1f3a-4cc4-bb04-49940288d89a","SB10:11:12:13.jpg","13r13","rect:x=517,y=2192,w=83,h=98","","","","","","","","","","","",""
"966247ca-12ef-4502-b031-3800a4af79f2","SB10:11:12:13.jpg","10r2","rect:x=1666,y=578,w=71,h=68","","","","","","","","","","","",""
"dddc8b8c-5b89-4a84-b607-cb83ce9ff1da","SB10:11:12:13.jpg","11r1","rect:x=1159,y=431,w=65,h=100","","","","","","","","","","","",""
"7ebdf3c7-81d3-4b1b-ac10-13ae8725b52d","SB10:11:12:13.jpg","13r29","rect:x=403,y=2034,w=75,h=71","","","","","","","","","","","",""
"a36946d4-710e-47dc-b35e-f55d227ea8f1","SB10:11:12:13.jpg","12r3","rect:x=844,y=570,w=78,h=92","","","","","","","","","","","",""
"e88a8068-8ee4-4fe9-9bbd-12261cad298c","SB10:11:12:13.jpg","12r11","rect:x=839,y=1629,w=59,h=124","","","","","","","","","","","",""
"328e02ee-e4d7-461e-9af1-8e6011bdb5da","SB10:11:12:13.jpg","12r6","rect:x=844,y=1001,w=61,h=74","","","","","","","","","","","",""
"ae3f30b1-b7c4-43bc-b7d7-f96735403735","SB10:11:12:13.jpg","12r5","rect:x=847,y=864,w=62,h=89","","","","","","","","","","","",""
"337be1f5-bd06-4142-b9a4-cf960263f921","SB10:11:12:13.jpg","10r21","rect:x=1466,y=1105,w=77,h=77","","","","","","","","","","","",""
"2c78f2bc-2c63-4545-ada4-c8612b6594e5","SB10:11:12:13.jpg","10r20","rect:x=1466,y=953,w=85,h=102","","","","","","","","","","","",""
"51559ab3-e851-4e8c-aa6a-7d8b552e27dd","SB10:11:12:13.jpg","10r9","rect:x=1666,y=1569,w=70,h=148","","","","","","","","","","","",""
"7a11e4a8-4397-458f-8e8a-265fe8d3535a","SB10:11:12:13.jpg","10r11","rect:x=1663,y=1863,w=72,h=67","","","","","","","","","","","",""
