"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d6fdaee4-1d39-47ff-a03f-4b7a5ed5f329","SB44:45:46a:27.jpg","44r3","rect:x=1600,y=528,w=65,h=74","","","","","","","","","","","",""
"f5de249c-6b92-4c26-a276-ef337271d737","SB44:45:46a:27.jpg","44r5","rect:x=1601,y=778,w=68,h=58","","","","","","","","","","","",""
"da40fc17-32ca-48d2-b05c-80de2d9eacec","SB44:45:46a:27.jpg","44r14","rect:x=1604,y=1908,w=69,h=79","","","","","","","","","","","",""
"f8c14352-254d-4904-8f18-7945170c2f69","SB44:45:46a:27.jpg","44r21","rect:x=1524,y=641,w=66,h=73","","","","","","","","","","","",""
"220ed603-c18a-46f4-8f9f-dbcaa1599f06","SB44:45:46a:27.jpg","45r24","rect:x=1147,y=912,w=66,h=72","","","","","","","","","","","",""
"870a2ee5-7bbd-4f52-bd2b-ece0df1491dc","SB44:45:46a:27.jpg","45r13","rect:x=1231,y=1816,w=67,h=103","","","","","","","","","","","",""
"0a13ce83-2e11-4e20-b35e-88701e0452e9","SB44:45:46a:27.jpg","45r26","rect:x=1152,y=1177,w=66,h=86","","","","","","","","","","","",""
"dbdb70ad-f9b1-4cdf-b2bf-c0f63f8a104f","SB44:45:46a:27.jpg","45r30","rect:x=1154,y=1673,w=66,h=84","","","","","","","","","","","",""
"36bdb682-6a9c-450f-8f06-db2489df8e16","SB44:45:46a:27.jpg","27r10","rect:x=526,y=1465,w=90,h=71","","","","","","","","","","","",""
"13361fd5-568a-44d0-98e2-5174545b7149","SB44:45:46a:27.jpg","27r16","rect:x=525,y=2191,w=86,h=72","","","","","","","","","","","",""
"97afd613-6b17-4a08-b67e-8b82d2668038","SB44:45:46a:27.jpg","46ar17","rect:x=833,y=2478,w=90,h=64","","","","","","","","","","","",""
"41059f9b-4e6c-41f6-902f-54ab7097734c","SB44:45:46a:27.jpg","46ar10","rect:x=840,y=1656,w=69,h=84","","","","","","","","","","","",""
"db0efb52-2990-465d-abae-cba5d29b1a28","SB44:45:46a:27.jpg","46ar4","rect:x=839,y=834,w=64,h=67","","","","","","","","","","","",""
