"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5c81b496-7794-4af0-8aa1-08d74e954330","SB6:7a:8b:9.jpg","6r4","rect:x=1708,y=773,w=71,h=88","","","","","","","","","","","",""
"2a8d2097-9dc7-4182-8be4-45bebd461ca9","SB6:7a:8b:9.jpg","6r29","rect:x=1550,y=1571,w=72,h=91","","","","","","","","","","","",""
"5b43dee6-0129-475e-9e74-1287b5a6e04c","SB6:7a:8b:9.jpg","7ar3","rect:x=1247,y=675,w=73,h=85","","","","","","","","","","","",""
"8f037b93-312c-473c-b039-4fe7ec7fbe85","SB6:7a:8b:9.jpg","8br1","rect:x=929,y=289,w=83,h=56","","","","","","","","","","","",""
"34c8e18c-11e1-48a5-920e-302443a90c6b","SB6:7a:8b:9.jpg","7ar15","rect:x=1240,y=2261,w=78,h=110","","","","","","","","","","","",""
"299d366a-8501-492e-b12a-a582de38c690","SB6:7a:8b:9.jpg","8br7","rect:x=937,y=1063,w=66,h=70","","","","","","","","","","","",""
"d9d8e99c-9470-4dee-aebf-131c9ca1f4cd","SB6:7a:8b:9.jpg","9r5","rect:x=622,y=949,w=69,h=92","","","","","","","","","","","",""
"435380b5-557f-4435-b0da-7b795489fd7d","SB6:7a:8b:9.jpg","9r11","rect:x=620,y=1834,w=74,h=83","","","","","","","","","","","",""
"682141df-af0d-4920-8b9f-0f02d67a4eb4","SB6:7a:8b:9.jpg","9r6","rect:x=623,y=1072,w=68,h=97","","","","","","","","","","","",""
"e1383dca-16b2-4d9f-9dd5-059d9b35b547","SB6:7a:8b:9.jpg","9r2","rect:x=618,y=570,w=67,h=59","","","","","","","","","","","",""
"25f42e3d-303b-4483-9f70-e6d88e973657","SB6:7a:8b:9.jpg","9r26","rect:x=492,y=1733,w=69,h=66","","","","","","","","","","","",""
"bddf1a45-5599-4171-b5cf-faed2b0e4c85","SB6:7a:8b:9.jpg","9r29","rect:x=494,y=2102,w=74,h=86","","","","","","","","","","","",""
"17aaf336-0bea-44d9-a386-20e2bf3369c7","SB6:7a:8b:9.jpg","6r34","rect:x=1550,y=2241,w=68,h=84","","","","","","","","","","","",""
"feee69cb-ae04-4672-b5ec-978f837e3d74","SB6:7a:8b:9.jpg","7ar12","rect:x=1244,y=1834,w=64,h=98","","","","","","","","","","","",""
"a18bb739-e9b1-4d94-bda5-24b08ec9d1a1","SB6:7a:8b:9.jpg","6r18","rect:x=1696,y=2491,w=84,h=92","","","","","","","","","","","",""
"05d5a510-f1d9-4935-9912-52a46d038020","SB6:7a:8b:9.jpg","6r9","rect:x=1706,y=1400,w=69,h=78","","","","","","","","","","","",""
"de1c19bf-f638-4cb5-8108-b0ea5e20cf98","SB6:7a:8b:9.jpg","6r15","rect:x=1707,y=2126,w=60,h=86","","","","","","","","","","","",""
"95a1ca6a-7163-44bd-8350-446fb1a021c5","SB6:7a:8b:9.jpg","6r31","rect:x=1554,y=1823,w=73,h=86","","","","","","","","","","","",""
"eaba69dc-cf21-40da-8ed6-dd5f22678b96","SB6:7a:8b:9.jpg","6r19","rect:x=1545,y=319,w=82,h=107","","","","","","","","","","","",""
"a6667292-72d3-4a37-98c2-7f01c748a526","SB6:7a:8b:9.jpg","6r20","rect:x=1554,y=461,w=73,h=84","","","","","","","","","","","",""
"067b75ff-ac44-401f-b798-f3c791ae866f","SB6:7a:8b:9.jpg","7ar7","rect:x=1245,y=1169,w=70,h=114","","","","","","","","","","","",""
"5397ebc0-9c9b-4fa8-9118-6ebb28c6c270","SB6:7a:8b:9.jpg","7ar13","rect:x=1238,y=1957,w=79,h=131","","","","","","","","","","","",""
"928bce7e-1b94-40c3-8f80-fce187e0c734","SB6:7a:8b:9.jpg","8br13","rect:x=939,y=1900,w=64,h=58","","","","","","","","","","","",""
"9cfaedca-c6c0-4961-9411-ed4770bc3d6c","SB6:7a:8b:9.jpg","8br11","rect:x=939,y=1650,w=64,h=56","","","","","","","","","","","",""
"cf5f0cde-6a3c-4e3c-ab92-9d8b2b49ab85","SB6:7a:8b:9.jpg","8br10","rect:x=937,y=1452,w=69,h=134","","","","","","","","","","","",""
"e336e503-4303-49d4-95f7-b092e06d69a3","SB6:7a:8b:9.jpg","9r8","rect:x=615,y=1376,w=76,h=118","","","","","","","","","","","",""
